groupe_vehicule,checkpoint,date,lieu_depart,lieu_arrive,nom_vehicule,duree
PSL,2023-07-19,trajet total,KRIBI,100003_USINE DE NOMAYOS,LTTR 055 AR-MERCEDES 1941-PSL,00:38:44
PSL,2023-07-19,trajet total,KRIBI,100003_USINE DE NOMAYOS,LTTR 056 AS MERCEDES (PSL),03:02:51
PSL,2023-07-19,trajet total,KRIBI,100003_USINE DE NOMAYOS,LTTR 057 AR - MERCEDES ACTROS- PSL,00:52:44
PSL,2023-07-19,trajet total,KRIBI,100003_USINE DE NOMAYOS,LTTR 058 AR-MERCEDES 1941-PSL,00:00:00
PSL,2023-07-19,trajet total,KRIBI,100003_USINE DE NOMAYOS,LTTR 060 AS MERCEDES (PSL),02:24:43
PSL,2023-07-19,trajet total,KRIBI,100003_USINE DE NOMAYOS,LTTR 061 AS MERCEDES (PSL),02:46:50
PSL,2023-07-19,trajet total,KRIBI,100003_USINE DE NOMAYOS,LTTR 300 AO-ACTROS 1841-MEDLOG,00:00:00
PSL,2023-07-19,trajet total,KRIBI,100003_USINE DE NOMAYOS,LTTR 307 AO-MERCEDES 1841-PSL,00:00:00
PSL,2023-07-19,trajet total,KRIBI,100003_USINE DE NOMAYOS,LTTR 313 AS - SOMAFILS,00:59:51
PSL,2023-07-19,trajet total,KRIBI,100003_USINE DE NOMAYOS,LTTR 329 AR-MERCEDES-CIMENCAM(PSL),00:00:00
PSL,2023-07-19,trajet total,KRIBI,100003_USINE DE NOMAYOS,LTTR 331 AR-MERCEDES 1841-PSL,00:00:00
PSL,2023-07-19,trajet total,KRIBI,100003_USINE DE NOMAYOS,LTTR 447 AQ-MERCEDES 1841-MEDLOG,00:00:00
PSL,2023-07-19,trajet total,KRIBI,100003_USINE DE NOMAYOS,LTTR 476 AQ-ACTROS 1841-MEDLOG,00:00:00
PSL,2023-07-19,trajet total,KRIBI,100003_USINE DE NOMAYOS,LTTR 480 AQ-MERCEDES 1941-CIMENCAM(PSL),00:00:00
PSL,2023-07-19,trajet total,KRIBI,100003_USINE DE NOMAYOS,LTTR 482 AQ-ACTROS 1836-MEDLOG,00:00:00
PSL,2023-07-19,trajet total,KRIBI,100003_USINE DE NOMAYOS,LTTR 685 AP-ACTROS 1844-CIMENCAM(PSL),00:00:00
PSL,2023-07-19,trajet total,KRIBI,100003_USINE DE NOMAYOS,LTTR 703 AQ-MERCEDES 1941-PSL,03:24:44
PSL,2023-07-19,trajet total,KRIBI,100003_USINE DE NOMAYOS,LTTR 704 AQ-MERCEDES 1941-PSL,04:40:07
PSL,2023-07-19,trajet total,KRIBI,100003_USINE DE NOMAYOS,LTTR 705 AQ-MERCEDES 1941-PSL,00:00:00
PSL,2023-07-19,trajet total,KRIBI,100003_USINE DE NOMAYOS,LTTR 710 AQ-ACTROS 1941-PSL(CIMENCAM),05:09:00
PSL,2023-07-19,trajet total,KRIBI,100003_USINE DE NOMAYOS,LTTR 711 AQ-MERCEDES 1941-PSL,00:00:00
PSL,2023-07-19,trajet total,KRIBI,100003_USINE DE NOMAYOS,LTTR 816 AS-MERCEDES 3344-PSL,00:46:58
