groupe_vehicule,checkpoint,date,lieu_depart,lieu_arrive,nom_vehicule,duree
PSL,2023-07-21,checkpoint 2,EDEA,100003_USINE DE NOMAYOS,LTTR 057 AR - MERCEDES ACTROS- PSL,10:48:44
PSL,2023-07-21,checkpoint 2,EDEA,100003_USINE DE NOMAYOS,LTTR 058 AR-MERCEDES 1941-PSL,06:52:21
PSL,2023-07-21,checkpoint 2,EDEA,100003_USINE DE NOMAYOS,LTTR 300 AO-ACTROS 1841-MEDLOG,00:00:00
PSL,2023-07-21,checkpoint 2,EDEA,100003_USINE DE NOMAYOS,LTTR 301 AO-MERCEDES 1841-CIMENCAM(PSL),00:00:00
PSL,2023-07-21,checkpoint 2,EDEA,100003_USINE DE NOMAYOS,LTTR 313 AS - SOMAFILS,00:00:00
PSL,2023-07-21,checkpoint 2,EDEA,100003_USINE DE NOMAYOS,LTTR 447 AQ-MERCEDES 1841-MEDLOG,00:00:00
PSL,2023-07-21,checkpoint 2,EDEA,100003_USINE DE NOMAYOS,LTTR 480 AQ-MERCEDES 1941-CIMENCAM(PSL),00:00:00
PSL,2023-07-21,checkpoint 2,EDEA,100003_USINE DE NOMAYOS,LTTR 682 AP-MERCEDES 1844-CIMENCAM (PSL),00:00:00
PSL,2023-07-21,checkpoint 2,EDEA,100003_USINE DE NOMAYOS,LTTR 055 AR-MERCEDES 1941-PSL,00:00:00
PSL,2023-07-21,checkpoint 2,EDEA,100003_USINE DE NOMAYOS,LTTR 056 AR-ACTROS 1844-CIMENCAM (PSL),00:00:00
PSL,2023-07-21,checkpoint 2,EDEA,100003_USINE DE NOMAYOS,LTTR 056 AS MERCEDES (PSL),11:29:37
PSL,2023-07-21,checkpoint 2,EDEA,100003_USINE DE NOMAYOS,LTTR 685 AP-ACTROS 1844-CIMENCAM(PSL),00:00:00
PSL,2023-07-21,checkpoint 2,EDEA,100003_USINE DE NOMAYOS,LTTR 702 AQ-ACTROS 1941-PSL,00:00:00
PSL,2023-07-21,checkpoint 2,EDEA,100003_USINE DE NOMAYOS,LTTR 703 AQ-MERCEDES 1941-PSL,06:05:52
PSL,2023-07-21,checkpoint 2,EDEA,100003_USINE DE NOMAYOS,LTTR 704 AQ-MERCEDES 1941-PSL,00:58:07
PSL,2023-07-21,checkpoint 2,EDEA,100003_USINE DE NOMAYOS,LTTR 705 AQ-MERCEDES 1941-PSL,08:23:44
PSL,2023-07-21,checkpoint 2,EDEA,100003_USINE DE NOMAYOS,LTTR 816 AS-MERCEDES 3344-PSL,04:27:52
PSL,2023-07-21,checkpoint 2,EDEA,100003_USINE DE NOMAYOS,LTTR 877 AQ-MERCEDES 1941-PSL,05:11:54
PSL,2023-07-21,checkpoint 2,EDEA,100003_USINE DE NOMAYOS,LTTR 879 AQ -MERCEDES 1844-PSL,00:00:00
PSL,2023-07-21,checkpoint 2,EDEA,100003_USINE DE NOMAYOS,LTTR 909 AR-ACTROS 1941-PSL,15:48:31
PSL,2023-07-21,checkpoint 2,EDEA,100003_USINE DE NOMAYOS,LTTR 910 AR-ACTROS 1846-PSL,05:15:38
PSL,2023-07-21,checkpoint 2,EDEA,100003_USINE DE NOMAYOS,LTTR 915 AR-MERCEDES 1942-CIMENCAM(PSL),00:00:00
PSL,2023-07-21,checkpoint 2,EDEA,100003_USINE DE NOMAYOS,LTTR 942 AQ-MERCEDES 1941-PSL,00:00:00
PSL,2023-07-21,trajet total,KRIBI,100003_USINE DE NOMAYOS,LTTR 055 AR-MERCEDES 1941-PSL,00:00:00
PSL,2023-07-21,trajet total,KRIBI,100003_USINE DE NOMAYOS,LTTR 056 AR-ACTROS 1844-CIMENCAM (PSL),00:00:00
PSL,2023-07-21,trajet total,KRIBI,100003_USINE DE NOMAYOS,LTTR 056 AS MERCEDES (PSL),11:29:37
PSL,2023-07-21,trajet total,KRIBI,100003_USINE DE NOMAYOS,LTTR 057 AR - MERCEDES ACTROS- PSL,10:48:44
PSL,2023-07-21,trajet total,KRIBI,100003_USINE DE NOMAYOS,LTTR 058 AR-MERCEDES 1941-PSL,06:52:21
PSL,2023-07-21,trajet total,KRIBI,100003_USINE DE NOMAYOS,LTTR 300 AO-ACTROS 1841-MEDLOG,00:00:00
PSL,2023-07-21,trajet total,KRIBI,100003_USINE DE NOMAYOS,LTTR 301 AO-MERCEDES 1841-CIMENCAM(PSL),00:00:00
PSL,2023-07-21,trajet total,KRIBI,100003_USINE DE NOMAYOS,LTTR 313 AS - SOMAFILS,00:00:00
PSL,2023-07-21,trajet total,KRIBI,100003_USINE DE NOMAYOS,LTTR 447 AQ-MERCEDES 1841-MEDLOG,00:00:00
PSL,2023-07-21,trajet total,KRIBI,100003_USINE DE NOMAYOS,LTTR 480 AQ-MERCEDES 1941-CIMENCAM(PSL),00:00:00
PSL,2023-07-21,trajet total,KRIBI,100003_USINE DE NOMAYOS,LTTR 682 AP-MERCEDES 1844-CIMENCAM (PSL),00:00:00
PSL,2023-07-21,trajet total,KRIBI,100003_USINE DE NOMAYOS,LTTR 685 AP-ACTROS 1844-CIMENCAM(PSL),00:00:00
PSL,2023-07-21,trajet total,KRIBI,100003_USINE DE NOMAYOS,LTTR 702 AQ-ACTROS 1941-PSL,00:00:00
PSL,2023-07-21,trajet total,KRIBI,100003_USINE DE NOMAYOS,LTTR 703 AQ-MERCEDES 1941-PSL,06:05:52
PSL,2023-07-21,trajet total,KRIBI,100003_USINE DE NOMAYOS,LTTR 704 AQ-MERCEDES 1941-PSL,00:58:07
PSL,2023-07-21,trajet total,KRIBI,100003_USINE DE NOMAYOS,LTTR 705 AQ-MERCEDES 1941-PSL,08:23:44
PSL,2023-07-21,trajet total,KRIBI,100003_USINE DE NOMAYOS,LTTR 816 AS-MERCEDES 3344-PSL,04:27:52
PSL,2023-07-21,trajet total,KRIBI,100003_USINE DE NOMAYOS,LTTR 877 AQ-MERCEDES 1941-PSL,05:11:54
