groupe_vehicule,checkpoint,date,lieu_depart,lieu_arrive,nom_vehicule,duree
PSL,2023-07-17,trajet total,KRIBI,100003_USINE DE NOMAYOS,LTTR 055 AR-MERCEDES 1941-PSL,01:22:21
PSL,2023-07-17,trajet total,KRIBI,100003_USINE DE NOMAYOS,LTTR 056 AS MERCEDES (PSL),00:49:50
PSL,2023-07-17,trajet total,KRIBI,100003_USINE DE NOMAYOS,LTTR 057 AR - MERCEDES ACTROS- PSL,00:39:55
PSL,2023-07-17,trajet total,KRIBI,100003_USINE DE NOMAYOS,LTTR 058 AR-MERCEDES 1941-PSL,00:00:00
PSL,2023-07-17,trajet total,KRIBI,100003_USINE DE NOMAYOS,LTTR 060 AS MERCEDES (PSL),00:45:35
PSL,2023-07-17,trajet total,KRIBI,100003_USINE DE NOMAYOS,LTTR 061 AS MERCEDES (PSL),00:50:54
PSL,2023-07-17,trajet total,KRIBI,100003_USINE DE NOMAYOS,LTTR 300 AO-ACTROS 1841-MEDLOG,00:00:00
PSL,2023-07-17,trajet total,KRIBI,100003_USINE DE NOMAYOS,LTTR 313 AS - SOMAFILS,00:00:00
PSL,2023-07-17,trajet total,KRIBI,100003_USINE DE NOMAYOS,LTTR 328 AR-ACTROS 1841-PSL,00:00:00
PSL,2023-07-17,trajet total,KRIBI,100003_USINE DE NOMAYOS,LTTR 331 AR-MERCEDES 1841-PSL,01:35:12
PSL,2023-07-17,trajet total,KRIBI,100003_USINE DE NOMAYOS,LTTR 363 AO-MERCEDES ACTROS 1841-PSL,00:00:00
PSL,2023-07-17,trajet total,KRIBI,100003_USINE DE NOMAYOS,LTTR 447 AQ-MERCEDES 1841-MEDLOG,00:00:00
PSL,2023-07-17,trajet total,KRIBI,100003_USINE DE NOMAYOS,LTTR 682 AP-MERCEDES 1844-CIMENCAM (PSL),00:00:00
PSL,2023-07-17,trajet total,KRIBI,100003_USINE DE NOMAYOS,LTTR 685 AP-ACTROS 1844-CIMENCAM(PSL),00:00:00
PSL,2023-07-17,trajet total,KRIBI,100003_USINE DE NOMAYOS,LTTR 703 AQ-MERCEDES 1941-PSL,00:00:00
PSL,2023-07-17,trajet total,KRIBI,100003_USINE DE NOMAYOS,LTTR 704 AQ-MERCEDES 1941-PSL,00:44:17
PSL,2023-07-17,trajet total,KRIBI,100003_USINE DE NOMAYOS,LTTR 710 AQ-ACTROS 1941-PSL(CIMENCAM),00:48:16
PSL,2023-07-17,trajet total,KRIBI,100003_USINE DE NOMAYOS,LTTR 877 AQ-MERCEDES 1941-PSL,00:39:00
PSL,2023-07-17,trajet total,KRIBI,100003_USINE DE NOMAYOS,LTTR 879 AQ -MERCEDES 1844-PSL,01:57:07
PSL,2023-07-17,trajet total,KRIBI,100003_USINE DE NOMAYOS,LTTR 910 AR-ACTROS 1846-PSL,00:00:00
PSL,2023-07-17,trajet total,KRIBI,100003_USINE DE NOMAYOS,LTTR 940 AQ-MERCEDES ACTROS-PSL,05:02:36
PSL,2023-07-17,checkpoint 1,KRIBI,EDEA,LTTR 055 AR-MERCEDES 1941-PSL,00:10:24
PSL,2023-07-17,checkpoint 1,KRIBI,EDEA,LTTR 056 AS MERCEDES (PSL),00:02:21
PSL,2023-07-17,checkpoint 1,KRIBI,EDEA,LTTR 057 AR - MERCEDES ACTROS- PSL,00:09:44
PSL,2023-07-17,checkpoint 1,KRIBI,EDEA,LTTR 058 AR-MERCEDES 1941-PSL,00:00:00
PSL,2023-07-17,checkpoint 1,KRIBI,EDEA,LTTR 060 AS MERCEDES (PSL),00:10:45
PSL,2023-07-17,checkpoint 1,KRIBI,EDEA,LTTR 061 AS MERCEDES (PSL),00:29:08
PSL,2023-07-17,checkpoint 1,KRIBI,EDEA,LTTR 300 AO-ACTROS 1841-MEDLOG,00:00:00
PSL,2023-07-17,checkpoint 1,KRIBI,EDEA,LTTR 313 AS - SOMAFILS,00:03:42
PSL,2023-07-17,checkpoint 1,KRIBI,EDEA,LTTR 328 AR-ACTROS 1841-PSL,00:00:00
PSL,2023-07-17,checkpoint 1,KRIBI,EDEA,LTTR 331 AR-MERCEDES 1841-PSL,00:14:42
PSL,2023-07-17,checkpoint 1,KRIBI,EDEA,LTTR 363 AO-MERCEDES ACTROS 1841-PSL,00:00:00
PSL,2023-07-17,checkpoint 1,KRIBI,EDEA,LTTR 447 AQ-MERCEDES 1841-MEDLOG,00:00:00
PSL,2023-07-17,checkpoint 1,KRIBI,EDEA,LTTR 682 AP-MERCEDES 1844-CIMENCAM (PSL),00:20:04
PSL,2023-07-17,checkpoint 1,KRIBI,EDEA,LTTR 685 AP-ACTROS 1844-CIMENCAM(PSL),00:00:00
PSL,2023-07-17,checkpoint 1,KRIBI,EDEA,LTTR 703 AQ-MERCEDES 1941-PSL,00:52:31
PSL,2023-07-17,checkpoint 1,KRIBI,EDEA,LTTR 704 AQ-MERCEDES 1941-PSL,00:22:30
PSL,2023-07-17,checkpoint 1,KRIBI,EDEA,LTTR 710 AQ-ACTROS 1941-PSL(CIMENCAM),00:08:08
PSL,2023-07-17,checkpoint 1,KRIBI,EDEA,LTTR 877 AQ-MERCEDES 1941-PSL,00:04:47
PSL,2023-07-17,checkpoint 1,KRIBI,EDEA,LTTR 879 AQ -MERCEDES 1844-PSL,00:07:14
PSL,2023-07-17,checkpoint 1,KRIBI,EDEA,LTTR 910 AR-ACTROS 1846-PSL,00:00:00
PSL,2023-07-17,checkpoint 1,KRIBI,EDEA,LTTR 940 AQ-MERCEDES ACTROS-PSL,00:11:12
PSL,2023-07-17,checkpoint 2,EDEA,100003_USINE DE NOMAYOS,LTTR 055 AR-MERCEDES 1941-PSL,01:22:21
PSL,2023-07-17,checkpoint 2,EDEA,100003_USINE DE NOMAYOS,LTTR 056 AS MERCEDES (PSL),00:49:50
PSL,2023-07-17,checkpoint 2,EDEA,100003_USINE DE NOMAYOS,LTTR 057 AR - MERCEDES ACTROS- PSL,00:39:55
PSL,2023-07-17,checkpoint 2,EDEA,100003_USINE DE NOMAYOS,LTTR 058 AR-MERCEDES 1941-PSL,00:00:00
PSL,2023-07-17,checkpoint 2,EDEA,100003_USINE DE NOMAYOS,LTTR 060 AS MERCEDES (PSL),00:45:35
PSL,2023-07-17,checkpoint 2,EDEA,100003_USINE DE NOMAYOS,LTTR 061 AS MERCEDES (PSL),00:50:54
PSL,2023-07-17,checkpoint 2,EDEA,100003_USINE DE NOMAYOS,LTTR 300 AO-ACTROS 1841-MEDLOG,00:00:00
PSL,2023-07-17,checkpoint 2,EDEA,100003_USINE DE NOMAYOS,LTTR 331 AR-MERCEDES 1841-PSL,01:35:12
PSL,2023-07-17,checkpoint 2,EDEA,100003_USINE DE NOMAYOS,LTTR 363 AO-MERCEDES ACTROS 1841-PSL,00:00:00
PSL,2023-07-17,checkpoint 2,EDEA,100003_USINE DE NOMAYOS,LTTR 447 AQ-MERCEDES 1841-MEDLOG,00:00:00
PSL,2023-07-17,checkpoint 2,EDEA,100003_USINE DE NOMAYOS,LTTR 682 AP-MERCEDES 1844-CIMENCAM (PSL),00:00:00
PSL,2023-07-17,checkpoint 2,EDEA,100003_USINE DE NOMAYOS,LTTR 685 AP-ACTROS 1844-CIMENCAM(PSL),00:00:00
PSL,2023-07-17,checkpoint 2,EDEA,100003_USINE DE NOMAYOS,LTTR 703 AQ-MERCEDES 1941-PSL,00:00:00
PSL,2023-07-17,checkpoint 2,EDEA,100003_USINE DE NOMAYOS,LTTR 704 AQ-MERCEDES 1941-PSL,00:44:17
PSL,2023-07-17,checkpoint 2,EDEA,100003_USINE DE NOMAYOS,LTTR 710 AQ-ACTROS 1941-PSL(CIMENCAM),00:48:16
PSL,2023-07-17,checkpoint 2,EDEA,100003_USINE DE NOMAYOS,LTTR 877 AQ-MERCEDES 1941-PSL,00:39:00
PSL,2023-07-17,checkpoint 2,EDEA,100003_USINE DE NOMAYOS,LTTR 879 AQ -MERCEDES 1844-PSL,01:57:07
PSL,2023-07-17,checkpoint 2,EDEA,100003_USINE DE NOMAYOS,LTTR 910 AR-ACTROS 1846-PSL,00:00:00
PSL,2023-07-17,checkpoint 2,EDEA,100003_USINE DE NOMAYOS,LTTR 940 AQ-MERCEDES ACTROS-PSL,05:02:36
PSL,2023-07-17,checkpoint 2,EDEA,100003_USINE DE NOMAYOS,LTTR 313 AS - SOMAFILS,00:00:00
PSL,2023-07-17,checkpoint 2,EDEA,100003_USINE DE NOMAYOS,LTTR 328 AR-ACTROS 1841-PSL,00:00:00
